zip_code,median_age,total_population,median_household_income
76693,40.6,2320.0,54074.0
76701,31.3,1861.0,29714.0
76704,29.1,7450.0,19966.0
76705,34.4,31985.0,51546.0
76706,23.4,40770.0,39317.0
76707,29.8,16516.0,33964.0
76708,34.8,26917.0,64618.0
76710,40.1,23008.0,49762.0
76711,33.9,9474.0,51526.0
76712,38.1,28758.0,91862.0
76798,19.1,2907.0,
76801,38.5,25048.0,51603.0
76802,41.5,5667.0,65750.0
76820,71.2,135.0,
76821,42.2,4436.0,60924.0
76823,48.6,2741.0,54594.0
76824,,,
76825,41.6,6415.0,52143.0
76827,62.4,611.0,
76828,64.6,236.0,49688.0
76831,,,
76832,40.7,572.0,44886.0
76834,48.0,4992.0,50565.0
76836,,3.0,
76837,38.7,1964.0,49250.0
76841,12.0,186.0,
76842,69.7,179.0,52625.0
76844,48.8,3307.0,61989.0
76845,49.4,231.0,72500.0
76848,76.2,66.0,
76849,44.6,3733.0,58413.0
76852,53.5,286.0,78333.0
76853,49.4,1639.0,56420.0
76854,59.5,290.0,
76856,43.5,3506.0,80210.0
76857,45.7,1989.0,46047.0
76858,55.9,226.0,50500.0
76859,60.2,1728.0,39730.0
76861,36.6,2048.0,68750.0
76862,64.7,167.0,56250.0
76864,56.6,800.0,43464.0
76865,52.9,200.0,54792.0
76866,53.9,946.0,62885.0
76869,3.8,190.0,
76870,56.9,70.0,
76871,50.3,561.0,59375.0
76872,48.6,798.0,55000.0
76873,36.9,89.0,
76874,,,
76875,54.8,484.0,54429.0
76877,40.7,4509.0,54406.0
76878,41.0,1717.0,49250.0
76880,,,
76882,37.8,194.0,56000.0
76884,49.8,75.0,73750.0
76885,18.3,65.0,
76887,60.6,68.0,88854.0
76888,60.5,127.0,57566.0
76890,51.8,902.0,56008.0
76901,35.5,31415.0,62879.0
76902,,,
76903,38.9,30955.0,50077.0
76904,34.6,37090.0,81684.0
76905,31.8,13424.0,77614.0
76908,21.4,1943.0,
76909,19.9,512.0,
76930,56.5,87.0,52857.0
76932,33.0,3308.0,70319.0
76933,44.9,1238.0,53935.0
76934,31.9,1068.0,51083.0
76935,45.0,1721.0,
76936,39.4,2474.0,53774.0
76937,68.2,56.0,
76939,,,
76940,54.0,14.0,
76941,43.2,1237.0,53315.0
76943,52.7,2841.0,64457.0
76945,44.6,1825.0,37697.0
76950,31.6,3386.0,56889.0
76951,32.1,1392.0,63558.0
76953,59.5,85.0,
76955,31.6,241.0,78036.0
76957,7.5,189.0,
76958,32.4,241.0,
77002,35.3,18800.0,78292.0
77003,33.9,10169.0,87618.0
77004,33.3,35506.0,68141.0
77005,36.8,28470.0,213059.0
77006,33.5,24006.0,104375.0
77007,33.3,42881.0,140536.0
77008,34.9,38496.0,140609.0
77009,38.0,36872.0,77817.0
77010,54.3,837.0,221776.0
77011,36.6,16685.0,44412.0
77012,33.2,17950.0,45784.0
77013,34.2,18512.0,43492.0
77014,30.9,37573.0,54303.0
77015,29.6,59314.0,55171.0
77016,37.1,29376.0,42186.0
77017,31.3,32574.0,53236.0
77018,37.0,28892.0,111524.0
77019,35.6,22839.0,118172.0
77020,35.7,25715.0,46606.0
77021,34.6,25500.0,46508.0
77022,35.4,26903.0,46525.0
77023,35.7,25680.0,47697.0
77024,43.2,37269.0,132710.0
77025,37.8,29295.0,84274.0
77026,38.6,20732.0,33452.0
77027,34.4,19478.0,103627.0
77028,31.6,18669.0,33403.0
77029,38.8,16008.0,49443.0
77030,33.0,12546.0,90475.0
77031,35.2,17351.0,44412.0
77032,28.2,13743.0,38834.0
77033,33.0,28255.0,39118.0
77034,33.1,37273.0,56772.0
77035,35.2,34254.0,52205.0
77036,30.8,72278.0,41899.0
